rollout_id,success,horizon,return
0,0,400,0.0
1,0,400,0.0
2,0,400,0.0
3,0,400,0.0
4,0,400,0.0
5,0,400,0.0
6,0,400,0.0
7,1,157,1.0
8,0,400,0.0
9,0,400,0.0
10,1,245,1.0
11,0,400,0.0
12,0,400,0.0
13,0,400,0.0
14,0,400,0.0
15,0,400,0.0
16,1,282,1.0
17,1,163,1.0
18,0,400,0.0
19,0,400,0.0
20,0,400,0.0
21,0,400,0.0
22,0,400,0.0
23,0,400,0.0
24,0,400,0.0
25,0,400,0.0
26,0,400,0.0
27,0,400,0.0
28,0,400,0.0
29,0,400,0.0
30,0,400,0.0
31,0,400,0.0
32,0,400,0.0
33,0,400,0.0
34,0,400,0.0
35,1,157,1.0
36,0,400,0.0
37,0,400,0.0
38,0,400,0.0
39,0,400,0.0
40,0,400,0.0
41,0,400,0.0
42,1,254,1.0
43,0,400,0.0
44,0,400,0.0
45,0,400,0.0
46,0,400,0.0
47,0,400,0.0
48,0,400,0.0
49,0,400,0.0
